status,price,bed,bath,acre_lot,city,state,zip_code,house_size,price_per_sqft,prev_sold_date
for_sale,531625.0,5.0,4.0,,Hampton,GEORGIA,30228.0,3661.0,145.21305654192844,
for_sale,525210.0,5.0,4.0,,Hampton,GEORGIA,30228.0,3661.0,143.46080305927342,2022-10-31
for_sale,490225.0,5.0,3.0,,Hampton,GEORGIA,30228.0,3116.0,157.32509627727856,2022-10-27
for_sale,481705.0,5.0,3.0,,Hampton,GEORGIA,30228.0,3116.0,154.5908215661104,2022-07-20
for_sale,145000.0,,,0.91,Lincolnton,GEORGIA,30817.0,,,
for_sale,55000.0,,,1.21,Blairsville,GEORGIA,30512.0,,,
for_sale,170000.0,,,2.95,Ellijay,GEORGIA,30540.0,,,
for_sale,140000.0,3.0,3.0,1.0,Clayton,GEORGIA,30525.0,2216.0,63.17689530685921,2022-04-15
for_sale,85000.0,,,2.62,Bryson City,GEORGIA,28713.0,,,
for_sale,430000.0,5.0,3.0,2.0,North Augusta,GEORGIA,29841.0,3034.0,141.72709294660515,
for_sale,428005.0,5.0,3.0,2.0,North Augusta,GEORGIA,29841.0,3034.0,141.069545154911,
for_sale,349900.0,4.0,3.0,0.18,Harlem,GEORGIA,30814.0,2339.0,149.59384352287302,
for_sale,130000.0,,,22.3,Augusta,GEORGIA,30906.0,,,2006-08-24
for_sale,225000.0,,,10.8,Augusta,GEORGIA,30901.0,,,
for_sale,75000.0,,,0.71,Augusta,GEORGIA,30906.0,,,1994-02-23
for_sale,79900.0,4.0,2.0,0.27,Augusta,GEORGIA,30904.0,1586.0,50.37831021437579,2019-08-19
for_sale,73000.0,3.0,1.0,0.21,Augusta,GEORGIA,30904.0,1068.0,68.35205992509363,
for_sale,152000.0,3.0,2.0,,Augusta,GEORGIA,30901.0,1712.0,88.78504672897196,
for_sale,152000.0,3.0,2.0,,Augusta,GEORGIA,30901.0,1712.0,88.78504672897196,1981-03-01
for_sale,1250000.0,4.0,6.0,,Augusta,GEORGIA,30909.0,1308.0,955.65749235474,2019-07-26
for_sale,280000.0,4.0,3.0,0.6,Hephzibah,GEORGIA,30815.0,3497.0,80.06863025450386,2019-06-10
for_sale,152000.0,3.0,2.0,,Augusta,GEORGIA,30901.0,1712.0,88.78504672897196,
for_sale,160000.0,,,,Augusta,GEORGIA,30906.0,,,
for_sale,220000.0,4.0,2.0,0.3,Augusta,GEORGIA,30909.0,2206.0,99.72801450589301,2013-10-24
for_sale,68900.0,3.0,1.0,0.18,Augusta,GEORGIA,30901.0,1200.0,57.416666666666664,1978-06-01
for_sale,75000.0,2.0,1.0,0.15,Augusta,GEORGIA,30904.0,1294.0,57.95981452859351,1986-06-01
for_sale,69900.0,,,0.08,Augusta,GEORGIA,30901.0,,,2016-07-19
for_sale,272484.0,,,104.43,Augusta,GEORGIA,30906.0,,,1997-06-11
for_sale,187000.0,5.0,2.0,0.39,Augusta,GEORGIA,30906.0,2130.0,87.79342723004694,2013-09-13
for_sale,115000.0,2.0,2.0,0.57,Augusta,GEORGIA,30904.0,2064.0,55.71705426356589,
