state,city,listings,median_price,avg_price,median_bed,median_bath,median_house_size,median_price_per_sqft,affordability_score,liquidity_score,value_score,market_opportunity_score
GEORGIA,Augusta,536,217000.0,242043.8656716418,3.0,2.0,1786.5,126.53820164793865,70.22222222222223,97.33333333333334,78.47533632286995,81.2
GEORGIA,Elberton,64,165000.0,262176.59375,3.0,2.0,1698.0,100.6896551724138,86.44444444444444,59.111111111111114,90.5829596412556,79.7
GEORGIA,Millen,29,129900.0,217665.5172413793,3.0,1.0,1333.0,97.44936234058514,94.22222222222223,42.0,92.37668161434978,77.9
GEORGIA,Rome,237,213900.0,281706.08438818564,3.0,2.0,1570.5,126.15263771800193,70.66666666666667,83.11111111111111,79.37219730941703,77.4
GEORGIA,Swainsboro,31,159900.0,186090.32258064515,3.0,2.0,1740.0,83.80503144654088,88.88888888888889,42.66666666666667,95.06726457399103,77.2
GEORGIA,Dublin,87,209900.0,359430.4597701149,3.0,2.0,2103.0,101.75339366515836,72.0,66.66666666666666,90.13452914798206,76.7
GEORGIA,Waynesboro,48,164950.0,196342.6875,3.0,2.0,1848.0,112.78571428571428,87.11111111111111,54.22222222222223,85.20179372197309,76.6
GEORGIA,Toccoa,62,160750.0,220841.12903225806,3.0,2.0,1482.0,127.29798964685861,87.55555555555556,57.77777777777777,78.02690582959642,75.3
GEORGIA,Hephzibah,72,204950.0,211977.91666666666,3.0,2.0,1699.0,116.4394234514998,74.44444444444444,62.44444444444445,84.30493273542601,74.3
GEORGIA,Emerson,9,100000.0,162766.66666666666,2.5,2.0,984.0,55.89430894308943,98.22222222222223,17.333333333333336,99.10313901345292,74.3
GEORGIA,Claxton,35,175000.0,330347.4285714286,3.0,2.0,2030.0,105.03521815564909,83.55555555555556,46.0,87.89237668161435,73.8
GEORGIA,Thomaston,72,199900.0,250977.22222222222,3.0,2.0,1575.0,125.58419474649841,76.88888888888889,62.44444444444445,80.26905829596413,73.7
GEORGIA,Sylvania,29,184900.0,190951.6896551724,3.0,2.0,1768.0,97.72270579019275,81.33333333333333,42.0,91.92825112107623,73.2
GEORGIA,Soperton,11,140000.0,184363.63636363635,3.0,2.5,1688.0,83.33333333333333,92.66666666666667,22.88888888888889,95.51569506726457,72.7
GEORGIA,Bowdon,42,174000.0,226162.35714285713,3.0,2.0,1563.5,124.51764057331863,84.0,49.77777777777778,81.16591928251121,72.7
GEORGIA,Adrian,10,125000.0,126480.0,3.0,2.0,1848.0,76.92307692307692,94.66666666666667,20.0,95.96412556053812,72.7
GEORGIA,Lagrange,68,211500.0,286577.2205882353,3.0,2.0,1994.0,116.26691042047533,71.11111111111111,59.77777777777777,84.75336322869956,72.5
GEORGIA,Mcrae Helena,14,147950.0,208875.7142857143,3.5,2.0,1928.0,97.73135669362084,91.55555555555556,27.333333333333332,91.4798206278027,72.3
GEORGIA,Tennille,7,110000.0,154010.7142857143,3.0,2.0,2142.0,53.74368396876435,96.44444444444444,12.0,99.55156950672645,72.2
GEORGIA,Luthersville,16,92500.0,166679.3125,3.0,2.0,2076.5,123.57237225245012,99.11111111111111,29.777777777777775,81.61434977578475,72.2
GEORGIA,Tignall,22,172000.0,395817.45454545453,3.0,2.0,1584.0,100.0,84.66666666666667,35.77777777777777,91.03139013452915,72.2
GEORGIA,Griffin,278,242500.0,263278.47122302157,3.0,2.0,1862.0,143.88785046728972,64.0,87.1111111111111,65.91928251121077,71.6
GEORGIA,Hazlehurst,23,179900.0,306586.95652173914,3.0,2.0,2249.0,104.41176470588236,83.11111111111111,37.55555555555555,88.34080717488789,71.3
GEORGIA,Riverdale,139,240000.0,238217.41007194246,3.0,3.0,1731.0,137.73431132844337,64.88888888888889,76.66666666666667,71.30044843049328,70.7
GEORGIA,Wrens,7,140000.0,163897.0,3.0,2.5,2560.0,67.47343117408907,92.66666666666667,12.0,98.65470852017937,70.6
GEORGIA,Statesboro,227,255000.0,317340.6960352423,4.0,2.0,1920.0,137.94739111686073,60.0,82.66666666666667,70.40358744394618,70.4
GEORGIA,Roberta,6,101192.0,107714.0,3.0,1.5,1390.0,72.48930296756384,97.77777777777777,7.111111111111111,97.30941704035874,70.4
GEORGIA,Jonesboro,198,250000.0,273149.89898989897,3.0,3.0,1832.0,137.97318611987382,61.55555555555556,81.33333333333333,69.95515695067265,70.4
GEORGIA,Keysville,10,111950.0,130374.0,3.0,1.5,1422.0,106.48148148148148,96.0,20.0,87.4439461883408,70.2
GEORGIA,Forest Park,51,200000.0,215246.6274509804,3.0,2.0,1440.0,129.95,76.0,55.333333333333336,75.7847533632287,69.7
GEORGIA,Reidsville,21,165000.0,203616.66666666666,3.0,2.0,2137.0,120.12478777589135,86.44444444444444,34.44444444444444,82.51121076233184,69.5
GEORGIA,Mount Vernon,6,122400.0,203966.66666666666,4.0,2.0,1741.0,74.30101130279596,95.55555555555556,7.111111111111111,96.8609865470852,69.5
GEORGIA,Lyons,14,187450.0,188700.0,3.0,2.0,1978.5,86.34459508182042,80.44444444444444,27.333333333333332,94.17040358744394,69.3
GEORGIA,Metter,22,196500.0,255525.5909090909,3.0,2.0,1734.5,102.74234321473061,78.22222222222223,35.77777777777777,88.78923766816143,69.2
GEORGIA,Cedartown,58,209900.0,280581.4310344828,3.0,2.0,1794.0,128.1135531135531,72.0,56.666666666666664,77.13004484304932,69.2
GEORGIA,Flovilla,6,104400.0,106700.0,3.0,1.0,1268.5,93.95972698684965,97.33333333333333,7.111111111111111,93.27354260089686,68.8
GEORGIA,Lincolnton,100,99450.0,248621.31,3.0,3.0,2152.5,169.6295168159466,98.66666666666667,69.77777777777779,37.66816143497758,68.7
GEORGIA,Wrightsville,12,185000.0,255676.5,3.0,2.0,1130.0,93.91771019677996,80.88888888888889,24.88888888888889,93.72197309417041,68.6
GEORGIA,Martinez,135,260000.0,329732.1111111111,3.0,3.0,1992.0,136.70616833789123,59.11111111111111,74.66666666666667,72.19730941704036,68.4
GEORGIA,Union City,92,255000.0,287576.79347826086,3.0,3.0,1690.5,134.7816105721244,60.0,68.22222222222221,73.99103139013454,67.4
GEORGIA,East Dublin,11,155000.0,158245.45454545456,3.0,2.0,1442.0,120.1218534551868,89.33333333333333,22.88888888888889,82.95964125560539,67.2
GEORGIA,Tallapoosa,33,189000.0,186102.42424242425,3.0,2.0,1700.0,135.16014234875445,79.55555555555556,44.0,73.09417040358744,66.6
GEORGIA,Twin City,7,149900.0,141671.42857142858,3.0,2.0,1703.0,102.63157894736842,90.66666666666667,12.0,89.23766816143498,66.6
GEORGIA,Lithonia,366,277960.0,272426.25136612024,3.0,3.0,1844.0,151.01816180517335,52.88888888888889,92.88888888888889,56.50224215246637,66.2
GEORGIA,Franklin,7,140000.0,129460.0,3.0,2.0,1273.5,110.55845915602013,92.66666666666667,12.0,86.09865470852017,66.2
GEORGIA,Grovetown,413,306680.0,319928.2493946731,4.0,3.0,2224.0,144.78741771499517,43.99999999999999,94.66666666666667,64.12556053811659,66.2
GEORGIA,Stone Mountain,307,290000.0,307082.4951140065,3.0,3.0,2004.0,144.46212577995817,48.0,89.11111111111111,64.57399103139014,66.1
GEORGIA,Jackson,113,255000.0,294676.407079646,3.0,3.0,1960.0,142.85714285714286,60.0,71.55555555555554,67.2645739910314,66.0
GEORGIA,Conyers,298,294500.0,324639.24832214764,4.0,3.0,2087.0,144.26766679826292,47.55555555555555,88.44444444444444,65.02242152466368,65.9
GEORGIA,Ellenwood,169,300000.0,316995.82840236684,4.0,3.0,2389.5,133.8069182571536,45.333333333333336,79.11111111111111,74.8878923766816,65.8
GEORGIA,Clarkesville,139,170000.0,273585.90647482016,3.0,2.5,1865.0,171.23324695012877,85.33333333333333,76.66666666666667,36.32286995515695,65.6
GEORGIA,Porterdale,10,149500.0,178369.8,2.5,2.0,1300.0,126.27118644067797,91.11111111111111,20.0,78.9237668161435,65.5
GEORGIA,Roopville,34,136500.0,310455.0,3.5,2.5,2432.0,153.7015945330296,93.77777777777777,45.111111111111114,54.26008968609865,65.3
GEORGIA,Vidalia,43,274900.0,316083.6046511628,3.0,3.0,2482.5,109.3580904114612,55.55555555555556,51.11111111111111,86.99551569506727,65.2
GEORGIA,Baxley,22,209495.0,244585.9090909091,3.0,2.0,1750.0,125.55893558581175,72.88888888888889,35.77777777777777,80.71748878923766,64.5
GEORGIA,Davisboro,7,200000.0,446757.14285714284,3.5,2.0,1611.0,68.87016729368446,76.0,12.0,97.75784753363229,64.4
GEORGIA,Adairsville,51,249000.0,272709.6666666667,3.0,3.0,1960.0,135.26750902527075,63.111111111111114,55.333333333333336,72.64573991031389,64.1
GEORGIA,Bartow,6,104700.0,171766.66666666666,4.0,3.0,2378.0,126.1143818334735,96.88888888888889,7.111111111111111,79.82062780269058,64.0
GEORGIA,Barnesville,63,220000.0,242811.14285714287,3.0,3.0,2133.0,144.97175141242937,68.88888888888889,58.44444444444444,63.67713004484305,63.9
GEORGIA,Lindale,15,189900.0,218791.33333333334,3.0,2.0,1719.0,127.36565964508863,79.11111111111111,28.666666666666668,77.57847533632287,63.4
GEORGIA,Jenkinsburg,5,124900.0,148582.0,3.0,2.0,1438.5,116.97049316962108,95.11111111111111,2.4444444444444446,83.85650224215246,63.4
GEORGIA,Carrollton,275,275000.0,413894.55636363634,3.0,3.0,1968.0,155.9791941216405,54.66666666666667,86.44444444444444,52.01793721973094,63.3
GEORGIA,Whitesburg,20,196509.0,213125.65,3.0,2.0,1603.5,134.72115435540516,77.77777777777777,33.55555555555556,74.43946188340807,63.3
GEORGIA,Glennville,6,181450.0,211633.33333333334,3.0,2.5,1838.0,96.4448685115471,81.77777777777777,7.111111111111111,92.82511210762331,63.2
GEORGIA,Ellabell,14,204950.0,252063.57142857142,4.0,3.0,1939.0,120.22271714922049,74.44444444444444,27.333333333333332,82.0627802690583,63.0
GEORGIA,Hogansville,8,187700.0,373575.0,2.5,2.0,1754.5,110.33055555555556,80.0,15.333333333333332,86.54708520179372,62.9
GEORGIA,Fairburn,336,300670.0,331529.9910714286,3.0,3.0,2340.0,150.99930828600554,44.888888888888886,90.66666666666666,56.95067264573991,62.8
GEORGIA,Temple,88,277500.0,311569.375,3.0,2.0,1774.0,141.41949152542372,53.333333333333336,67.11111111111111,68.16143497757848,62.7
GEORGIA,Mcrae,6,207125.0,327700.0,3.0,2.0,1494.0,68.57416879795396,73.33333333333333,7.111111111111111,98.20627802690584,62.2
GEORGIA,Morrow,63,240000.0,228398.38095238095,3.0,2.0,1459.0,148.8235294117647,64.88888888888889,58.44444444444444,60.98654708520179,61.6
GEORGIA,Zebulon,39,150000.0,296255.641025641,3.5,3.0,1862.0,164.7985347985348,90.0,48.0,43.94618834080718,61.3
GEORGIA,Bremen,90,277450.0,320970.6777777778,3.0,3.0,1969.0,146.58770445572475,53.77777777777778,67.55555555555556,63.228699551569505,61.2
GEORGIA,Covington,260,283000.0,308157.49615384615,3.0,2.0,1760.0,158.8170865279299,50.666666666666664,84.88888888888889,49.327354260089685,60.5
GEORGIA,Sandersville,19,275000.0,249841.7894736842,3.0,3.0,2035.0,102.42232754081095,54.66666666666667,32.44444444444444,89.68609865470852,60.3
GEORGIA,Conley,28,249500.0,284795.6785714286,4.0,3.0,2333.0,136.75808583690986,62.666666666666664,41.333333333333336,71.74887892376682,59.4
GEORGIA,Midville,7,160000.0,240271.42857142858,3.0,2.0,1878.0,137.91267305644303,88.0,12.0,70.85201793721973,59.2
GEORGIA,Douglasville,411,305900.0,352476.76399026765,3.0,3.0,1933.0,165.3944020356234,44.44444444444444,94.22222222222221,43.497757847533634,59.0
GEORGIA,Portal,5,181000.0,273499.8,3.0,2.0,1536.0,117.83854166666669,82.22222222222223,2.4444444444444446,83.40807174887892,58.7
GEORGIA,Alma,11,249900.0,516947.7272727273,3.0,2.0,2097.0,111.99428667450849,62.22222222222222,22.88888888888889,85.65022421524664,58.6
GEORGIA,Hampton,292,352695.0,375058.34246575343,4.0,3.0,2377.0,146.91078561917445,29.33333333333333,87.55555555555556,62.780269058295964,58.5
GEORGIA,Villa Rica,224,330000.0,349507.10714285716,4.0,3.0,2520.5,150.7499751942841,37.33333333333333,81.77777777777779,57.847533632286996,57.8
GEORGIA,Big Canoe,92,140000.0,308443.4456521739,4.0,4.0,4426.0,205.68362193362194,92.66666666666667,68.22222222222221,13.45291479820628,57.6
GEORGIA,Harlem,105,336900.0,316818.4380952381,4.0,3.0,2337.0,143.56796116504853,36.44444444444444,70.22222222222221,66.3677130044843,57.1
GEORGIA,Stockbridge,338,352957.5,364740.1982248521,4.0,3.0,2511.0,152.5369149637442,28.888888888888886,91.55555555555556,55.60538116591928,57.0
GEORGIA,Port Wentworth,33,289900.0,301680.75757575757,3.5,3.0,2126.0,128.37108953613807,48.44444444444444,44.0,76.68161434977578,57.0
GEORGIA,Kingston,71,280990.0,307132.22535211267,4.0,3.0,2282.0,150.46911649726349,51.111111111111114,61.77777777777778,58.29596412556054,56.8
GEORGIA,Springfield,24,221950.0,481216.6666666667,3.0,2.0,1680.0,149.40217391304347,68.44444444444444,39.111111111111114,60.08968609865471,56.7
GEORGIA,Rincon,112,275000.0,310747.9464285714,4.0,2.0,2313.5,162.85430534429264,54.66666666666667,71.11111111111111,46.18834080717489,56.6
GEORGIA,Mcdonough,416,385200.0,407623.45192307694,4.0,3.0,2622.0,151.4756671899529,24.0,95.11111111111111,56.053811659192824,56.6
GEORGIA,South Fulton,126,264400.0,307172.15873015876,3.0,3.0,1722.5,168.39233155675763,58.22222222222222,73.11111111111111,39.46188340807175,56.1
GEORGIA,Rockmart,76,245500.0,279119.2894736842,3.0,2.0,1350.0,167.02977487291213,63.55555555555556,64.22222222222223,41.70403587443946,56.1
GEORGIA,Pembroke,7,279900.0,333914.28571428574,3.0,2.0,1889.0,84.7457627118644,52.22222222222222,12.0,94.61883408071749,55.0
GEORGIA,Evans,255,375900.0,424782.03921568627,4.0,3.0,2947.0,149.85727878211227,25.33333333333333,84.44444444444444,58.74439461883408,54.8
GEORGIA,Rydal,59,344192.0,387329.57627118647,4.0,3.0,2573.0,135.15742944576675,32.888888888888886,57.333333333333336,73.54260089686099,54.5
